content
Setelah update tidak bisa menu pencarian. Tlg diperbaiki bug nya
Mau login lagi kok susah... sudah masukan OTP tapi blm masuk juga...
"Setelah diupdate, pencarian bahan bangunan semakin sering tidak ketemu. Padahal cukup mudah Jika menggunakan versi yang lama. Parameter diskon dan expired diskon yang ada pada tiap label material sudah hilang tak nampak lagi, padahal parameter ini penting banget."
"Terimakasih depo bangunan sudah mempermudah kami sebagai customer bisa lebih cepat tau untuk promo"" Yang ada.. Saya sering belanja di depo bangunan pelayanannya yg enak nyaman dan penjelasan produk juga secara detail walaupun kita sebagai customer banya tanya nya tapi semua karyawan tetap bersikap senyum dan tulus.. Saya sangat puas"
Aplikasi ngebug. Filter berdasarkan brand tidak bisa. Barang tidak update. Mau exit malah ngulang2. Interface tdk to the point. Tolong sync dgn database toko supaya update . Tp diapresiasi ad usaha yaitu apknya ringan.
"Semua barang keperluan bagunan sangat lengkap dan kwalitas barang menunjukkan harga yg sesuai,banyak diskon sehingga gk pikir dua kali buat beli 😀😀😀. Bisa order juga keramik dan granit yang sama tipenya yg pernah saya beli waktu lampau."
"Aplikasi yang membantu, kita bisa lihat dahulu sebelum datang ke depo langsung. Setelah datang ke depo nya ternyata lebih lengkap, pelayanan nya memuaskan, banyak promo dan para pegawai yang ramah. Area parkir yang luas dan gratis.. hehe"
"Depo bangunan memang lengkap namun untuk pelayanan kurang baik & juga saat saya kesana kenapa ya panas sekali,untuk pengiriman juga agak lambat ribet lagi, Apa lagi saya juga pernah mencoba untuk bayar beli online mau ketipu,,untuk tindakan juga kurang respont. Aplikasi juga sangat tidak membantu tp membingungkan,retur barang pun sulit."
"Belanja bahan bangunan lengkap, murah ,nyaman hanya di DEPO BANGUNAN. Tak ada duanya. Selain itu pelayanannya juga bagus. Apalagi sekarang sudah ada aplikasinya jadi mempermudah customer untuk belanja. Pokoknya top markotop👍👍👍👍👍"
"Recoment ne buat teman2 yg mau belanja apk ini sangt membantu sekali ,. Untuk liat2 yg mau kita butuhin buat keperluan bahan bangunan rumah kita ,.yukk kita lihat apk nya dan buka apk biar kita gk keabisan updte buat belqnjaan kita,. By wa jg bisa loh !! semakin mudah )) 😊 Nyaman sekali dan membantu sekali ,. Terimakasih depo bangunan 👍👍😉"
"Aplikasi sangat membantu sekali dalam mencari referensi untuk membangun/merenovasi rumah.promonya jelas,pilihan barangnya lengkap,dan aplikasinya juga tersambung dengan media sosial yang lain seperti facebook,youtube,instagram,twitter bahkan juga langsung terkoneksi ke no. Wa dari toko yang terdekat dengan lokasi kita.sehingga informasi yang kita butuhkan jadi lebih lengkap dan mudah di dapat."
aplikasinya mantuLLL... jd mudah buat belanja tidak perlu macet2tan buat melihat bahan-bahan bangunan yg tersedia di depo bangunan. dan sangat banyak modelnya dari yang murah hingga yang mahal bener2 lengkap.depo bangunan bener2 superrr...
Sangat terbantu dengan aplikasi Depo Bangunan karena jadi tau setiap event dan promo yang sedang berlangsung.. setiap ada promo akan muncul notifikasinya... Dari aplikasi depo bangunan Kita juga bisa belanja secara online karena bisa langsung terhubung dengan nomer wa yang ada di customer service
"Hanya di depo bangunan kita bisa belanja untung, selain ada kupon undian disini juga ada hadiah langsung ataupun voucher dan promo² menarik lainnya. Jangan lupa kalo kalian belanja sekalian bikin member juga biar makin untuuuunngggg.... Dengan adanya aplikasi ini saya belanja jadi lebih mudah, terimakasih depo 😍😍"
"trimakasih depo bangunan telah meluncurkan aplikasi ini, saya sangat suka dg aplikasi ini fiturnya lengkap bisa cek harga dan yang pasti sangat memudahkan custamer berbelanja, supermarket bahan bangunan terlengkap ternyaman dan termurah hanya di depo bangunan🤗"
"Dengan aplikasi depo bangunan jadi mempermudah untunk mencari tau tentang produk produk bahan bangunan.. selain itu murah meriah ,barang kualiatas bermutu,pelayanan baik ,banyak promo promo serta undian berhadiah.. gak nyesel deh pokonya belanja di supermarket bahan bangunan ini ,buruan download app nya serta belanja di tokonya jangan sampe kelewatan pokonya GOOD 👍👍"
"Sangat terbantu 👍👍. Dengan adanya fitur aplikasi ini, kita bisa merencanakan pembelian produk, informasi harga, & promo² yg ditawarkan pada kebutuhan bahan bangunan termasuk kebutuhan harware lainya.. barang"" didepo bangunan juga kualitasnya sangat bisa diandalkan & tidak diragukan lagi 👍👍👍"
